host,ip,port,protocol,title,domain,country,city,link,as_organization
141.147.155.254,141.147.155.254,80,http,,,JP,Osaka,http://141.147.155.254,ORACLE-BMC-31898
140.83.37.54,140.83.37.54,80,http,,,JP,,http://140.83.37.54,ORACLE-BMC-31898
64.110.105.118,64.110.105.118,80,http,,,JP,Osaka,http://64.110.105.118,ORACLE-BMC-31898
131.186.40.115,131.186.40.115,80,http,,,JP,,http://131.186.40.115,ORACLE-BMC-31898
141.147.189.220,141.147.189.220,80,http,,,JP,,http://141.147.189.220,ORACLE-BMC-31898
141.147.189.236,141.147.189.236,80,http,,,JP,,http://141.147.189.236,ORACLE-BMC-31898
168.138.55.130,168.138.55.130,80,http,,,JP,Osaka,http://168.138.55.130,ORACLE-BMC-31898
155.248.164.185,155.248.164.185,80,http,,,JP,,http://155.248.164.185,ORACLE-BMC-31898
168.138.46.111,168.138.46.111,80,http,,,JP,Osaka,http://168.138.46.111,ORACLE-BMC-31898
138.2.17.74,138.2.17.74,80,http,,,JP,,http://138.2.17.74,ORACLE-BMC-31898
47.245.55.202,47.245.55.202,80,http,,,JP,Tokyo,http://47.245.55.202,"Alibaba US Technology Co., Ltd."
140.83.86.148,140.83.86.148,80,http,,,JP,Osaka,http://140.83.86.148,ORACLE-BMC-31898
152.70.87.17,152.70.87.17,80,http,,,JP,Osaka,http://152.70.87.17,ORACLE-BMC-31898
168.138.40.240,168.138.40.240,80,http,,,JP,Osaka,http://168.138.40.240,ORACLE-BMC-31898
138.2.52.143,138.2.52.143,80,http,,,JP,Osaka,http://138.2.52.143,ORACLE-BMC-31898
45.195.62.228,45.195.62.228,80,http,,,JP,,http://45.195.62.228,Fiberocity Ltd
138.2.20.237,138.2.20.237,80,http,,,JP,,http://138.2.20.237,ORACLE-BMC-31898
140.83.35.229,140.83.35.229,80,http,,,JP,,http://140.83.35.229,ORACLE-BMC-31898
45.195.62.89,45.195.62.89,80,http,,,JP,,http://45.195.62.89,Fiberocity Ltd
45.195.62.111,45.195.62.111,80,http,,,JP,,http://45.195.62.111,Fiberocity Ltd
140.83.50.255,140.83.50.255,80,http,,,JP,Osaka,http://140.83.50.255,ORACLE-BMC-31898
64.110.104.123,64.110.104.123,80,http,,,JP,Osaka,http://64.110.104.123,ORACLE-BMC-31898
lin-us-1-ip.use-chat-gpt.net,150.230.221.227,80,http,DNS points to prohibited IP | lin-us-1-ip.use-chat-gpt.net | Cloudflare,use-chat-gpt.net,JP,,http://lin-us-1-ip.use-chat-gpt.net,ORACLE-BMC-31898
132.145.112.251,132.145.112.251,80,http,,,JP,,http://132.145.112.251,ORACLE-BMC-31898
138.2.50.141,138.2.50.141,80,http,,,JP,Osaka,http://138.2.50.141,ORACLE-BMC-31898
138.2.36.146,138.2.36.146,80,http,,,JP,Osaka,http://138.2.36.146,ORACLE-BMC-31898
155.248.171.103,155.248.171.103,80,http,,,JP,,http://155.248.171.103,ORACLE-BMC-31898
138.2.35.49,138.2.35.49,80,http,,,JP,Osaka,http://138.2.35.49,ORACLE-BMC-31898
138.2.34.241,138.2.34.241,80,http,,,JP,Osaka,http://138.2.34.241,ORACLE-BMC-31898
132.145.124.106,132.145.124.106,80,http,,,JP,,http://132.145.124.106,ORACLE-BMC-31898
141.147.164.88,141.147.164.88,80,http,,,JP,,http://141.147.164.88,ORACLE-BMC-31898
138.2.51.21,138.2.51.21,80,http,,,JP,Osaka,http://138.2.51.21,ORACLE-BMC-31898
138.2.63.78,138.2.63.78,80,http,,,JP,Osaka,http://138.2.63.78,ORACLE-BMC-31898
168.138.212.178,168.138.212.178,80,http,,,JP,,http://168.138.212.178,ORACLE-BMC-31898
138.2.24.62,138.2.24.62,80,http,,,JP,,http://138.2.24.62,ORACLE-BMC-31898
47.74.12.139,47.74.12.139,80,http,,,JP,Tokyo,http://47.74.12.139,"Alibaba US Technology Co., Ltd."
150.230.216.255,150.230.216.255,80,http,,,JP,,http://150.230.216.255,ORACLE-BMC-31898
45.195.62.236,45.195.62.236,80,http,,,JP,,http://45.195.62.236,Fiberocity Ltd
45.195.62.241,45.195.62.241,80,http,,,JP,,http://45.195.62.241,Fiberocity Ltd
45.195.62.221,45.195.62.221,80,http,,,JP,,http://45.195.62.221,Fiberocity Ltd
45.195.62.243,45.195.62.243,80,http,,,JP,,http://45.195.62.243,Fiberocity Ltd
45.195.62.250,45.195.62.250,80,http,,,JP,,http://45.195.62.250,Fiberocity Ltd
45.195.62.220,45.195.62.220,80,http,,,JP,,http://45.195.62.220,Fiberocity Ltd
45.195.62.222,45.195.62.222,80,http,,,JP,,http://45.195.62.222,Fiberocity Ltd
132.145.120.247,132.145.120.247,80,http,,,JP,,http://132.145.120.247,ORACLE-BMC-31898
141.147.188.201,141.147.188.201,80,http,,,JP,,http://141.147.188.201,ORACLE-BMC-31898
138.2.55.252,138.2.55.252,80,http,,,JP,Osaka,http://138.2.55.252,ORACLE-BMC-31898
141.147.187.230,141.147.187.230,80,http,,,JP,,http://141.147.187.230,ORACLE-BMC-31898
152.70.83.118,152.70.83.118,80,http,,,JP,Osaka,http://152.70.83.118,ORACLE-BMC-31898
152.70.83.89,152.70.83.89,80,http,,,JP,Osaka,http://152.70.83.89,ORACLE-BMC-31898
64.110.101.106,64.110.101.106,80,http,,,JP,Osaka,http://64.110.101.106,ORACLE-BMC-31898
64.110.101.83,64.110.101.83,80,http,,,JP,Osaka,http://64.110.101.83,ORACLE-BMC-31898
138.2.20.75,138.2.20.75,80,http,,,JP,,http://138.2.20.75,ORACLE-BMC-31898
152.69.204.186,152.69.204.186,80,http,,,JP,Osaka,http://152.69.204.186,ORACLE-BMC-31898
141.147.190.43,141.147.190.43,80,http,,,JP,,http://141.147.190.43,ORACLE-BMC-31898
